Currently,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,,,C,M,T,W,Xm,Xw,Y,Tot,,days,per day,
27-Jun,Y18,0,0,0,0,0,0,1,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,C02,1,0,0,0,0,0,0,1-Aug,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,M24,0,1,0,0,0,0,0,1-Aug,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,T13,0,0,1,0,0,0,0,1-Aug,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,XW04,0,0,0,0,0,1,0,29-Aug,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,M19,0,1,0,0,0,0,0,15-Aug,,8-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,Y12,0,0,0,0,0,0,1,15-Aug,,8-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,M30,0,1,0,0,0,0,0,15-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,M28,0,1,0,0,0,0,0,10-Sep,,13-Aug,13-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,C11,1,0,0,0,0,0,0,7-Sep,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,C15,1,0,0,0,0,0,0,7-Sep,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,W10,0,0,0,1,0,0,0,15-Aug,,17-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,M04,0,1,0,0,0,0,0,17-Aug,,17-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,M12,0,1,0,0,0,0,0,14-Sep,,17-Aug,17-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,M26,0,1,0,0,0,0,0,14-Sep,,17-Aug,17-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
