,,,Avail (I),Rep (K),Test ( P),Loan O,Hold,Scrap,MIA  s,Given,,Repair,,Test,,Loan,,Hold,,Scrap,,MIA,,GIVEN,,,,,
,,,,R,T,L,H,S,M,G,,Y07,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,M29,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,C34,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,C05,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M02,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,C08,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,M22,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,Y10,L,0,H,,S,,M,,G,,,,
,,,,R,T,L,H,S,M,G,,0,R,,T,Y02,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,XM07,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,XM11,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,Y17,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,Y05,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,C17,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,C21,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,C23,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,Err:504,T,M11,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M13,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,T11,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,W16,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,Y06,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,T02,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M06,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,C12,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M01,L,0,H,,S,,M,,G,,,,
,,,,,T,L,H,S,M,G,,0,R,,T,M03,L,0,H,,S,,M,,G,,,,
