 Bike ID,Bike Brand,Bike Serial Number,Bike Tire Max PSI ,Bike Gears,Bike TIRE SIZE  F_R,Bike Photo Inventory 2018
M07,Grey red black Norco Storm,00K0003545,60,21,26 X 2.1,M07 Grey red black Norco Storm  00K0003545  60  26 X 2.1_00002961.jpg
M12,Burgundy Free Spirit  ,K002757,60,6,26 x 2.125,M12  Burgundy Free Spirit    K002757  60  26 x 2.125_00002616.jpg
M13,Supercycle Sierra,TH86072751​#0,45,15,26 X 2.125,M13  Supercycle Sierra  TH86072751​#0  45  26 X 2.125_00001943.jpg
M22,Iron Horse usa,TK91200040,55,21,26 X 47/54,M22 Iron Horse usa_Bleu et argentE Tk912000930_55_26 X 47/54_145313jpg
XM06,Blue-rust Action Velo-Plus,XV0137260,53,21,26.1.95,XM06BluRst ActnVeloPlus XV0137260 53 26x1.95_130639.jpg
W07,Blue Free Spirit  ,147277670,50,1,26X 1 3/8,W07 Blue Free Spirit    147277670  50  26X 1 3_8_095231.jpg
M23,Supercycle Ascent EBO  red,J9  (by left pedal),35,12,26X 1.75,M23_NA_35_26 X 2.00_0803_154504.jpg
M15,Brown Sports Club,na,55,null,26X1 3/8,M15 Brown Sports Club  na  55  26X1 3_8_145649.jpg
W01,Purple SupercycleAscent ,GJ91917,35,12,26X1.75,W01_prplSupercycleAscent GJ91917 35 26X1.75 00000181.jpg
M09, blk SportTek ,G070602485,60,21,26x1.75,M09 blk SportTek G070602485 60 21 26x1.75_00000184.jpg
Y01,Purple Next ,RD603707,50,18,26x1.95,Y01Prpl Next RD603707 50 26x1.95_131152.jpg
W16,Vagabond purple,WY970103328 ,60,18,26x1.95 ,W16 prple Vagabond WY970103328 60 26x1.95 31644.jpg
M34,Supercycle Excalibur Brown,,90,10,27 x 1 1/4,M34 Supercycle Excalibur Brown 90  10  26 X 1 1.40  
M25,Apollo racer red ,P78Y,85,null,27 x 1 ¼,M25 Apollo racer red  P78Y  85  27 x 1.25_441
M33,Raleigh Grand Prix Noir,RB004934,75,10,"27 x 1,25","M33 Raleigh Noir RB004934 75 10 27 x 1,25"
M35,Red Raleigh Javelin,RN923372,65,14,27 x 1. 25,M35 Red Raleigh Javelin RN923372 65 14 27 x 1.25 _162725.jpg
M01,Black Citation  ,5H08397,85,null,27 x 1.125,M01  Black Citation    5H08397  85  27x1.125 _00002992.jpg
M10,Raleigh sprite brown,RB984805,35,5,27 X 1.25,M10  Raleigh sprite brown  RB984805  35  27 X 1.25_00001036.jpg
W08,Sekine blanc         ,238215982,65,5,27 X 1.25,W08 Sekine blanc  238215982  65  27 X 1.25_00001038.jpg
M08,M08 Black/red Supercycle, HXD04017,85,12,27X1.25,M08 Black/red Supercycle HXD04017 75 27X1.25_142744.jpg
XWO6,Minelli Silhouette,C911110117,80,21,28 x 1 ⅝ x 1 ½,XWO6 Minelli Silhouette_C911110117_80_28x1⅝ x1½_114751.jpg
XM07,Stevens S8 Elite,S15MAMJKE 0012,53,null,29 X 2.0,XM07_Stevens s8 Elite noire S15MAMJKE 0012 53 29x2.0 0711_084831.jpg
XM08,Stevens S8 Elite,S15MAMJKE 0039,53,null,29 X 2.0,XM08_Stevens S8 Elite noire S15MAMJKE 0039 53 29x2.0 0711_085249.jpg
XM09,Stevens S8 Elite,S15MAMJKE 0064,53,null,29 X 2.0,XM09_Stevens S8 Elite noire S15MAMJKE 0064 53 29x2.0 0711_085839.jpg
M18,Raleigh Sport blue/white,RCB40962,55,18,700 C 38C,M18 Raleigh Sport bluwht RCB40962 55 18 700X38c 
M04,Nakamura black green ,EA151107539 ,55,18,700 X 38C,M04 Nakamura blckgrn EA151107539 55 700x38C 151621.jpg                  
M28,Diamondback  red grey,AV07A27211,80,18,700 X 38C,M28Diamondback  red greyAV07A272118018700 X 38C _153923
W20,Trek 700 Blue,WTU1256244P,60,21,700 x 38C,W20 Trek 700 Blue WTU1256244P 60 21 700 x 38C_
M29,Action-Velo-Plus ,XV000802225,60,21,700 X 38C,M29 Action-Velo-Plus  XV000802225 60 21 700 38C
W04,Blue - Velosport,1106150087,70,21,700 X 38C,W04 VeloSport blue  1106150087  70  700 X 38C_00001957.jpg
