,Date,Date,Tag # *,C,M,T,W,Xm,Xw,Y,,Wks in Repair,Days in Repair,,,,,,,,,,,,,,
,In Repair,Repaired,,,,,,,,,,,Repaired,Counting,,,,,,,,,,,,,
,20 Jun,June 29,C13,1,0,0,0,0,0,0,,#VALUE!,9,,,,,,,,,,,,,,
,1-June,June 29,C15,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,22-June,June 29,C22,1,0,0,0,0,0,0,,#VALUE!,7,,,,,,,,,,,,,,
,May 4,June 29,M19,0,1,0,0,0,0,0,,,56,,,,,,,,,,,,,,
,21-June,5-July,W17,0,0,0,1,0,0,0,,#VALUE!,14,,,,,,,,,,,,,,
,8 June,7-July,W18,0,0,0,1,0,0,0,,#VALUE!,29,,,,,,,,,,,,,,
,24-May,12-July,M32,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,22-May,,T03,0,0,1,0,0,0,0,,21,,144,,,,,,,,,,,,,
,15-June,15-July,M31,0,1,0,0,0,0,0,,#VALUE!,30,,,,,,,,,,,,,,
,May 4,15-July,T01,0,0,1,0,0,0,0,,#VALUE!,72,,,,,,,,,,,,,,
,28-May,16-July,W14,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,9-Apr-18,16-July,M01,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,19-June,17-July,C19,1,0,0,0,0,0,0,,#VALUE!,28,,,,,,,,,,,,,,
,21-June,18-July,W11,0,0,0,1,0,0,0,,#VALUE!,27,,,,,,,,,,,,,,
,25-May,18-July,W15,0,0,0,1,0,0,0,,#VALUE!,54,,,,,,,,,,,,,,
,22-June,18-July,C22,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,22-June,18-July,C24,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,27-June,18-July,W19,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,28-June,18-July,M11,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,09-July,18 July,C33,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,09-July,18 July,M27,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,09-July,19-July,W13,0,0,0,1,0,0,0,,#VALUE!,10,,,,,,,,,,,,,,
,09-July,19-July,Y13,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
,09-July,19-July,W17,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,10-July,20 July,M25,0,1,0,0,0,0,0,,#VALUE!,10,,,,,,,,,,,,,,
,10-July,16-Aug,M29,0,1,0,0,0,0,0,,#VALUE!,37,,,,,,,,,,,,,,
,13-July,28-Aug,C03,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,19-July,,C10,1,0,0,0,0,0,0,,12,,86,,,,,,,,,,,,,
,19-July,,T10,0,0,1,0,0,0,0,,12,,86,,,,,,,,,,,,,
,19-July,7-Aug,W03,0,0,0,1,0,0,0,g,#VALUE!,19,,,,,,,,,,,,,,
,18-July,27-July,Y04,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
,18-July,16-Aug,C31,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,18-July,2-Aug,C11,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,18-July,27-July,C14,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,18-July,2-Aug,T06,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
,23-July,27-July,M06,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,23-July,27-July,Y13,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
,24-July,13-Aug,XM20,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
,27-July,30-July,M03,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,2-Aug,2-Aug,M32,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,2-Aug,Aug-17,M34,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,4-Aug,16-Aug,M18,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,16-Aug,,C35,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,17-Aug,17-Aug,M04,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,18-Jul,,W05,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,22-Aug,23-Aug,M21,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Lock #64
,22-Aug,23-Aug,M17,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,24-Aug,,W15,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,24-Aug,,M30,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,,C14,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,,C16,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,,M16,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,,W01,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,,W11,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,,Y03,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
,28-Aug,,Y07,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
,28-Aug,28-Aug,W19,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
,28-Aug,28-Aug,XW06,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,
,28-Aug,,M29,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,29-Aug,,C34,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,29-Aug,,C05,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
